feature,H_statistic,p_value,significant
glrlm_RunLengthNonUniformity,18.2935,0.0004,True
shape_VoxelVolume,18.1521,0.0004,True
glszm_GrayLevelNonUniformity,17.6087,0.0005,True
shape_MeshVolume,17.7627,0.0005,True
shape_Sphericity,16.6268,0.0008,True
glcm_JointEnergy,14.4565,0.0023,True
shape_Maximum3DDiameter,14.3261,0.0025,True
shape_SurfaceVolumeRatio,12.4239,0.0061,True
glszm_SmallAreaEmphasis,11.6268,0.0088,True
glcm_Contrast,10.7572,0.0131,True
glcm_DifferenceVariance,10.7192,0.0133,True
glszm_ZonePercentage,7.0707,0.0697,False
glszm_LargeAreaEmphasis,6.7717,0.0795,False
glcm_Idm,4.7228,0.1933,False
glcm_Correlation,4.5091,0.2115,False
glrlm_RunPercentage,4.3533,0.2258,False
glrlm_ShortRunEmphasis,4.2446,0.2362,False
glrlm_LongRunEmphasis,4.1413,0.2466,False
