feature,spearman_r,p_value,significant
glszm_GrayLevelNonUniformity,0.9664,0.0,True
glrlm_RunLengthNonUniformity,0.9595,0.0,True
shape_MeshVolume,0.9328,0.0,True
shape_VoxelVolume,0.9325,0.0,True
glcm_JointEnergy,-0.9111,0.0,True
shape_Sphericity,-0.8844,0.0,True
shape_SurfaceVolumeRatio,-0.8379,0.0,True
glcm_Contrast,0.7619,0.0,True
shape_Maximum3DDiameter,0.7332,0.0001,True
glcm_DifferenceVariance,0.7263,0.0001,True
glcm_Idm,-0.5089,0.0131,True
glszm_SmallAreaEmphasis,-0.3883,0.0671,False
glcm_Correlation,0.33,0.124,False
glrlm_ShortRunEmphasis,0.2806,0.1946,False
glrlm_RunPercentage,0.2589,0.2329,False
glrlm_LongRunEmphasis,-0.2559,0.2385,False
glszm_ZonePercentage,-0.2292,0.2927,False
glszm_LargeAreaEmphasis,0.2273,0.297,False
